EANHotelID	SequenceNumber	Name	Address1	Address2	City	StateProvince	PostalCode	Country	Latitude	Longitude	AirportCode	PropertyCategory	PropertyCurrency	StarRating	Confidence	SupplierType	Location	ChainCodeID	RegionID	HighRate	LowRate	CheckInTime	CheckOutTime
242958	660	The Lake Resort	"Praia Da Falesia, Apartado 811"		Vilamoura		8126	PT	37.07921	-8.12721	FAO	1	EUR	5	52	ESR	Near Vilamoura Marina		11395	398.83	298.81		
206060	661	Worldhotel Cristoforo Colombo	"Corso Buenos Aires, 3"		Milan			IT	45.47582	9.20639	LIN	1	EUR	4	52	ESR	Near Via della Spiga		2302	280.4812	215.8926		
210581	663	Hotel Elefant	Sigmund Haffner Gasse 4		Salzburg		5020	AT	47.79971	13.04447	SZG	1	EUR	4	85	ESR	Near Mozart's Birthplace		3350	412.521	226.1131		
122349	664	Hotel Brunelleschi	Via Flavio Baracchini 12		Milan		20123	IT	45.46125	9.19122	LIN	1	EUR	4	88	ESR	Near La Rinascente		2302	296.8616	250.5936		
332678	666	Flatiron Hotel	9 West 26th Street		New York	NY	10010	US	40.74393	-73.98938	JFK	1	USD	4	5	ESR	Near Empire State Building		2621	319	229		
145011	667	Paris Marriott Rive Gauche Hotel & Conference Center	17 Boulevard Saint Jacques		Paris		75014	FR	48.83207	2.33955	ORY	1	EUR	4	35	ESR	Near Cartier Foundation for Contemporary Art	86	2734	338.21	143.13		
233199	669	The Majestic Hotel	Fira		Santorini		84 700	GR	36.40944	25.43472	JTR	1	EUR	5	52	ESR	Near Museum of Prehistoric Thira		177970	346.7	294.7		
176705	672	Novotel Paris Les Halles	8 Place Marguerite De Navarre		Paris		75001	FR	48.86061	2.34662	CDG	1	EUR	4	80	ESR	Near Louvre Museum	300	2734	439.9899	304.2821		
105909	675	Hotel Mediolanum	Via Mauro Macchi 1		Milan		20124	IT	45.48106	9.20373	LIN	1	EUR	4	55	ESR	Near Indro Montanelli Public Gardens		2302	259.7539	173.4944		
130155	677	Infante Sagres	Praca D. Filipa de Lencastre 62		Porto		4050-259	PT	41.14797	-8.61282	OPO	1	EUR	5	95	ESR	Near Porto Cathedral		2686	250.0457	150.0274		
109390	678	Hotel de France	Schottenring 3		Vienna		1010	AT	48.21426	16.36317	VIE	1	EUR	5	55	ESR	Near Burgtheater		3704	192.8044	191.8044		
